ride_id,customer_query
RIDE1,Can I get a refund for my last ride?
RIDE2,Can I get a refund for my last ride?
RIDE3,I need to cancel my ride.
RIDE4,Can I get a refund for my last ride?
RIDE5,I need to cancel my ride.
RIDE6,Can I get a refund for my last ride?
RIDE7,Is it safe to fly in this weather?
RIDE8,Is it safe to fly in this weather?
RIDE9,Can I get a refund for my last ride?
RIDE10,Is the ride on time? I'm in a hurry!
RIDE11,I need to cancel my ride.
RIDE12,Can I change my destination?
RIDE13,Why is the drone not here yet?
RIDE14,Can I get a refund for my last ride?
RIDE15,Can I change my destination?
RIDE16,Can I change my destination?
RIDE17,Can I change my destination?
RIDE18,Is the ride on time? I'm in a hurry!
RIDE19,Is the ride on time? I'm in a hurry!
RIDE20,I want to schedule a ride for tomorrow.
RIDE21,Is it safe to fly in this weather?
RIDE22,Why is the drone not here yet?
RIDE23,Why is the drone not here yet?
RIDE24,I need to cancel my ride.
RIDE25,Can I get a refund for my last ride?
RIDE26,Can I get a refund for my last ride?
RIDE27,Can I get a refund for my last ride?
RIDE28,Can I get a refund for my last ride?
RIDE29,Why is the drone not here yet?
RIDE30,I need to cancel my ride.
RIDE31,Can I get a refund for my last ride?
RIDE32,Can I get a refund for my last ride?
RIDE33,I need to cancel my ride.
RIDE34,Why is the drone not here yet?
RIDE35,Is it safe to fly in this weather?
RIDE36,Is the ride on time? I'm in a hurry!
RIDE37,Can I get a refund for my last ride?
RIDE38,Is the ride on time? I'm in a hurry!
RIDE39,Is the ride on time? I'm in a hurry!
RIDE40,Can I get a refund for my last ride?
RIDE41,Is it safe to fly in this weather?
RIDE42,Can I change my destination?
RIDE43,Can I change my destination?
RIDE44,I want to schedule a ride for tomorrow.
RIDE45,Can I get a refund for my last ride?
RIDE46,I need to cancel my ride.
RIDE47,I want to schedule a ride for tomorrow.
RIDE48,I want to schedule a ride for tomorrow.
RIDE49,Why is the drone not here yet?
RIDE50,I need to cancel my ride.
RIDE51,Is it safe to fly in this weather?
RIDE52,Why is the drone not here yet?
RIDE53,Can I get a refund for my last ride?
RIDE54,Why is the drone not here yet?
RIDE55,Why is the drone not here yet?
RIDE56,I need to cancel my ride.
RIDE57,Why is the drone not here yet?
RIDE58,Is the ride on time? I'm in a hurry!
RIDE59,Why is the drone not here yet?
RIDE60,Can I get a refund for my last ride?
RIDE61,Can I get a refund for my last ride?
RIDE62,Why is the drone not here yet?
RIDE63,Can I change my destination?
RIDE64,Can I change my destination?
RIDE65,Can I get a refund for my last ride?
RIDE66,Is the ride on time? I'm in a hurry!
RIDE67,I want to schedule a ride for tomorrow.
RIDE68,I need to cancel my ride.
RIDE69,Why is the drone not here yet?
RIDE70,Why is the drone not here yet?
RIDE71,Why is the drone not here yet?
RIDE72,Is the ride on time? I'm in a hurry!
RIDE73,Why is the drone not here yet?
RIDE74,Why is the drone not here yet?
RIDE75,Why is the drone not here yet?
RIDE76,Can I change my destination?
RIDE77,I need to cancel my ride.
RIDE78,Is it safe to fly in this weather?
RIDE79,Can I get a refund for my last ride?
RIDE80,Why is the drone not here yet?
RIDE81,Can I change my destination?
RIDE82,I need to cancel my ride.
RIDE83,Can I change my destination?
RIDE84,Is it safe to fly in this weather?
RIDE85,Is it safe to fly in this weather?
RIDE86,Why is the drone not here yet?
RIDE87,I want to schedule a ride for tomorrow.
RIDE88,Can I change my destination?
RIDE89,Is the ride on time? I'm in a hurry!
RIDE90,Is the ride on time? I'm in a hurry!
RIDE91,I want to schedule a ride for tomorrow.
RIDE92,Is the ride on time? I'm in a hurry!
RIDE93,Why is the drone not here yet?
RIDE94,Why is the drone not here yet?
RIDE95,Can I get a refund for my last ride?
RIDE96,Can I get a refund for my last ride?
RIDE97,Why is the drone not here yet?
RIDE98,Is it safe to fly in this weather?
RIDE99,Is the ride on time? I'm in a hurry!
RIDE100,Is it safe to fly in this weather?
RIDE101,Can I change my destination?
RIDE102,Can I get a refund for my last ride?
RIDE103,Can I change my destination?
RIDE104,I want to schedule a ride for tomorrow.
RIDE105,Can I get a refund for my last ride?
RIDE106,I need to cancel my ride.
RIDE107,Why is the drone not here yet?
RIDE108,I need to cancel my ride.
RIDE109,Is it safe to fly in this weather?
RIDE110,Is it safe to fly in this weather?
RIDE111,Why is the drone not here yet?
RIDE112,Can I get a refund for my last ride?
RIDE113,Is it safe to fly in this weather?
RIDE114,I need to cancel my ride.
RIDE115,Why is the drone not here yet?
RIDE116,Can I get a refund for my last ride?
RIDE117,I want to schedule a ride for tomorrow.
RIDE118,Why is the drone not here yet?
RIDE119,I want to schedule a ride for tomorrow.
RIDE120,Is the ride on time? I'm in a hurry!
RIDE121,Is the ride on time? I'm in a hurry!
RIDE122,Why is the drone not here yet?
RIDE123,Is it safe to fly in this weather?
RIDE124,I want to schedule a ride for tomorrow.
RIDE125,I want to schedule a ride for tomorrow.
RIDE126,I need to cancel my ride.
RIDE127,I want to schedule a ride for tomorrow.
RIDE128,Can I change my destination?
RIDE129,I need to cancel my ride.
RIDE130,Why is the drone not here yet?
RIDE131,Can I change my destination?
RIDE132,Why is the drone not here yet?
RIDE133,Can I get a refund for my last ride?
RIDE134,Why is the drone not here yet?
RIDE135,I need to cancel my ride.
RIDE136,Is the ride on time? I'm in a hurry!
RIDE137,Can I change my destination?
RIDE138,I want to schedule a ride for tomorrow.
RIDE139,Can I get a refund for my last ride?
RIDE140,Is the ride on time? I'm in a hurry!
RIDE141,Is the ride on time? I'm in a hurry!
RIDE142,Is the ride on time? I'm in a hurry!
RIDE143,I want to schedule a ride for tomorrow.
RIDE144,Why is the drone not here yet?
RIDE145,Can I get a refund for my last ride?
RIDE146,Is it safe to fly in this weather?
RIDE147,Can I get a refund for my last ride?
RIDE148,Why is the drone not here yet?
RIDE149,I need to cancel my ride.
RIDE150,Why is the drone not here yet?
RIDE151,Can I get a refund for my last ride?
RIDE152,Can I change my destination?
RIDE153,Can I change my destination?
RIDE154,I need to cancel my ride.
RIDE155,Can I change my destination?
RIDE156,Why is the drone not here yet?
RIDE157,Can I change my destination?
RIDE158,Can I change my destination?
RIDE159,Can I get a refund for my last ride?
RIDE160,Can I change my destination?
RIDE161,Is it safe to fly in this weather?
RIDE162,Is the ride on time? I'm in a hurry!
RIDE163,Can I get a refund for my last ride?
RIDE164,Is it safe to fly in this weather?
RIDE165,I want to schedule a ride for tomorrow.
RIDE166,Can I change my destination?
RIDE167,Can I change my destination?
RIDE168,Can I change my destination?
RIDE169,Is the ride on time? I'm in a hurry!
RIDE170,Why is the drone not here yet?
RIDE171,Can I change my destination?
RIDE172,I want to schedule a ride for tomorrow.
RIDE173,I want to schedule a ride for tomorrow.
RIDE174,Can I change my destination?
RIDE175,I need to cancel my ride.
RIDE176,I want to schedule a ride for tomorrow.
RIDE177,Can I get a refund for my last ride?
RIDE178,Can I get a refund for my last ride?
RIDE179,Why is the drone not here yet?
RIDE180,Is it safe to fly in this weather?
RIDE181,Is the ride on time? I'm in a hurry!
RIDE182,I want to schedule a ride for tomorrow.
RIDE183,Why is the drone not here yet?
RIDE184,Can I change my destination?
RIDE185,Is the ride on time? I'm in a hurry!
RIDE186,I need to cancel my ride.
RIDE187,Is the ride on time? I'm in a hurry!
RIDE188,Can I get a refund for my last ride?
RIDE189,Is the ride on time? I'm in a hurry!
RIDE190,I need to cancel my ride.
RIDE191,Is the ride on time? I'm in a hurry!
RIDE192,I need to cancel my ride.
RIDE193,Is the ride on time? I'm in a hurry!
RIDE194,Is it safe to fly in this weather?
RIDE195,Can I change my destination?
RIDE196,Can I get a refund for my last ride?
RIDE197,Can I get a refund for my last ride?
RIDE198,Why is the drone not here yet?
RIDE199,I want to schedule a ride for tomorrow.
RIDE200,Is the ride on time? I'm in a hurry!
RIDE201,Is the ride on time? I'm in a hurry!
RIDE202,Is the ride on time? I'm in a hurry!
RIDE203,I need to cancel my ride.
RIDE204,I want to schedule a ride for tomorrow.
RIDE205,Is the ride on time? I'm in a hurry!
RIDE206,Why is the drone not here yet?
RIDE207,Is it safe to fly in this weather?
RIDE208,I want to schedule a ride for tomorrow.
RIDE209,Is the ride on time? I'm in a hurry!
RIDE210,Is the ride on time? I'm in a hurry!
RIDE211,Can I change my destination?
RIDE212,Is it safe to fly in this weather?
RIDE213,I want to schedule a ride for tomorrow.
RIDE214,Is the ride on time? I'm in a hurry!
RIDE215,Can I get a refund for my last ride?
RIDE216,Is it safe to fly in this weather?
RIDE217,Is it safe to fly in this weather?
RIDE218,I want to schedule a ride for tomorrow.
RIDE219,I need to cancel my ride.
RIDE220,Can I get a refund for my last ride?
RIDE221,Can I get a refund for my last ride?
RIDE222,I want to schedule a ride for tomorrow.
RIDE223,I need to cancel my ride.
RIDE224,Is it safe to fly in this weather?
RIDE225,Can I get a refund for my last ride?
RIDE226,I need to cancel my ride.
RIDE227,I need to cancel my ride.
RIDE228,Why is the drone not here yet?
RIDE229,I need to cancel my ride.
RIDE230,I need to cancel my ride.
RIDE231,I want to schedule a ride for tomorrow.
RIDE232,Can I change my destination?
RIDE233,I need to cancel my ride.
RIDE234,Why is the drone not here yet?
RIDE235,Can I get a refund for my last ride?
RIDE236,Can I get a refund for my last ride?
RIDE237,Is it safe to fly in this weather?
RIDE238,Is the ride on time? I'm in a hurry!
RIDE239,I need to cancel my ride.
RIDE240,I want to schedule a ride for tomorrow.
RIDE241,I need to cancel my ride.
RIDE242,I want to schedule a ride for tomorrow.
RIDE243,Is the ride on time? I'm in a hurry!
RIDE244,Is the ride on time? I'm in a hurry!
RIDE245,Can I get a refund for my last ride?
RIDE246,I want to schedule a ride for tomorrow.
RIDE247,Why is the drone not here yet?
RIDE248,Can I get a refund for my last ride?
RIDE249,Why is the drone not here yet?
RIDE250,I want to schedule a ride for tomorrow.
RIDE251,Can I change my destination?
RIDE252,Is the ride on time? I'm in a hurry!
RIDE253,Is it safe to fly in this weather?
RIDE254,Is the ride on time? I'm in a hurry!
RIDE255,I want to schedule a ride for tomorrow.
RIDE256,Is it safe to fly in this weather?
RIDE257,I need to cancel my ride.
RIDE258,Why is the drone not here yet?
RIDE259,I want to schedule a ride for tomorrow.
RIDE260,I want to schedule a ride for tomorrow.
RIDE261,Can I change my destination?
RIDE262,I need to cancel my ride.
RIDE263,Can I get a refund for my last ride?
RIDE264,Is it safe to fly in this weather?
RIDE265,Why is the drone not here yet?
RIDE266,Why is the drone not here yet?
RIDE267,I want to schedule a ride for tomorrow.
RIDE268,Can I get a refund for my last ride?
RIDE269,Is it safe to fly in this weather?
RIDE270,Can I get a refund for my last ride?
RIDE271,Why is the drone not here yet?
RIDE272,Can I change my destination?
RIDE273,Is the ride on time? I'm in a hurry!
RIDE274,Why is the drone not here yet?
RIDE275,I want to schedule a ride for tomorrow.
RIDE276,I need to cancel my ride.
RIDE277,Is the ride on time? I'm in a hurry!
RIDE278,Why is the drone not here yet?
RIDE279,I need to cancel my ride.
RIDE280,I want to schedule a ride for tomorrow.
RIDE281,Is the ride on time? I'm in a hurry!
RIDE282,I want to schedule a ride for tomorrow.
RIDE283,Why is the drone not here yet?
RIDE284,I need to cancel my ride.
RIDE285,Why is the drone not here yet?
RIDE286,Can I get a refund for my last ride?
RIDE287,Can I change my destination?
RIDE288,Is it safe to fly in this weather?
RIDE289,Can I get a refund for my last ride?
RIDE290,Can I get a refund for my last ride?
RIDE291,Why is the drone not here yet?
RIDE292,Is it safe to fly in this weather?
RIDE293,I want to schedule a ride for tomorrow.
RIDE294,Is the ride on time? I'm in a hurry!
RIDE295,I need to cancel my ride.
RIDE296,Can I get a refund for my last ride?
RIDE297,Can I get a refund for my last ride?
RIDE298,Why is the drone not here yet?
RIDE299,I want to schedule a ride for tomorrow.
RIDE300,Why is the drone not here yet?
RIDE301,Is the ride on time? I'm in a hurry!
RIDE302,Why is the drone not here yet?
RIDE303,Can I get a refund for my last ride?
RIDE304,I need to cancel my ride.
RIDE305,Is it safe to fly in this weather?
RIDE306,Can I change my destination?
RIDE307,Why is the drone not here yet?
RIDE308,Can I change my destination?
RIDE309,I want to schedule a ride for tomorrow.
RIDE310,Is it safe to fly in this weather?
RIDE311,Is it safe to fly in this weather?
RIDE312,I want to schedule a ride for tomorrow.
RIDE313,I want to schedule a ride for tomorrow.
RIDE314,Why is the drone not here yet?
RIDE315,Is it safe to fly in this weather?
RIDE316,Is the ride on time? I'm in a hurry!
RIDE317,Can I change my destination?
RIDE318,Can I get a refund for my last ride?
RIDE319,I want to schedule a ride for tomorrow.
RIDE320,Is the ride on time? I'm in a hurry!
RIDE321,I need to cancel my ride.
RIDE322,I want to schedule a ride for tomorrow.
RIDE323,Why is the drone not here yet?
RIDE324,Is it safe to fly in this weather?
RIDE325,I want to schedule a ride for tomorrow.
RIDE326,Can I get a refund for my last ride?
RIDE327,Can I change my destination?
RIDE328,Can I get a refund for my last ride?
RIDE329,Is the ride on time? I'm in a hurry!
RIDE330,Can I get a refund for my last ride?
RIDE331,Why is the drone not here yet?
RIDE332,Is it safe to fly in this weather?
RIDE333,Can I change my destination?
RIDE334,Can I change my destination?
RIDE335,Can I change my destination?
RIDE336,Can I change my destination?
RIDE337,I want to schedule a ride for tomorrow.
RIDE338,Why is the drone not here yet?
RIDE339,Why is the drone not here yet?
RIDE340,Is the ride on time? I'm in a hurry!
RIDE341,Is the ride on time? I'm in a hurry!
RIDE342,Can I get a refund for my last ride?
RIDE343,Why is the drone not here yet?
RIDE344,Is the ride on time? I'm in a hurry!
RIDE345,Can I change my destination?
RIDE346,I need to cancel my ride.
RIDE347,Can I get a refund for my last ride?
RIDE348,I want to schedule a ride for tomorrow.
RIDE349,I need to cancel my ride.
RIDE350,Can I change my destination?
RIDE351,Why is the drone not here yet?
RIDE352,I need to cancel my ride.
RIDE353,Why is the drone not here yet?
RIDE354,Can I get a refund for my last ride?
RIDE355,Why is the drone not here yet?
RIDE356,Is the ride on time? I'm in a hurry!
RIDE357,Why is the drone not here yet?
RIDE358,Can I change my destination?
RIDE359,Is it safe to fly in this weather?
RIDE360,Why is the drone not here yet?
RIDE361,Why is the drone not here yet?
RIDE362,Can I get a refund for my last ride?
RIDE363,Is the ride on time? I'm in a hurry!
RIDE364,I want to schedule a ride for tomorrow.
RIDE365,Why is the drone not here yet?
RIDE366,I need to cancel my ride.
RIDE367,I want to schedule a ride for tomorrow.
RIDE368,Can I change my destination?
RIDE369,Is it safe to fly in this weather?
RIDE370,I want to schedule a ride for tomorrow.
RIDE371,Is it safe to fly in this weather?
RIDE372,Is the ride on time? I'm in a hurry!
RIDE373,Why is the drone not here yet?
RIDE374,I need to cancel my ride.
RIDE375,Can I get a refund for my last ride?
RIDE376,Why is the drone not here yet?
RIDE377,Why is the drone not here yet?
RIDE378,Why is the drone not here yet?
RIDE379,Why is the drone not here yet?
RIDE380,Can I get a refund for my last ride?
RIDE381,Why is the drone not here yet?
RIDE382,Why is the drone not here yet?
RIDE383,I want to schedule a ride for tomorrow.
RIDE384,Is it safe to fly in this weather?
RIDE385,I want to schedule a ride for tomorrow.
RIDE386,Can I get a refund for my last ride?
RIDE387,I want to schedule a ride for tomorrow.
RIDE388,Can I change my destination?
RIDE389,Can I change my destination?
RIDE390,I need to cancel my ride.
RIDE391,Is the ride on time? I'm in a hurry!
RIDE392,I need to cancel my ride.
RIDE393,Is the ride on time? I'm in a hurry!
RIDE394,Is the ride on time? I'm in a hurry!
RIDE395,Is the ride on time? I'm in a hurry!
RIDE396,I need to cancel my ride.
RIDE397,Why is the drone not here yet?
RIDE398,Is it safe to fly in this weather?
RIDE399,Can I change my destination?
RIDE400,Why is the drone not here yet?
RIDE401,Is the ride on time? I'm in a hurry!
RIDE402,Is it safe to fly in this weather?
RIDE403,I need to cancel my ride.
RIDE404,Can I change my destination?
RIDE405,I want to schedule a ride for tomorrow.
RIDE406,I need to cancel my ride.
RIDE407,Can I get a refund for my last ride?
RIDE408,Is it safe to fly in this weather?
RIDE409,Why is the drone not here yet?
RIDE410,Is the ride on time? I'm in a hurry!
RIDE411,I need to cancel my ride.
RIDE412,Is the ride on time? I'm in a hurry!
RIDE413,Is it safe to fly in this weather?
RIDE414,Is it safe to fly in this weather?
RIDE415,Can I change my destination?
RIDE416,I want to schedule a ride for tomorrow.
RIDE417,Can I get a refund for my last ride?
RIDE418,Can I get a refund for my last ride?
RIDE419,I need to cancel my ride.
RIDE420,I want to schedule a ride for tomorrow.
RIDE421,I need to cancel my ride.
RIDE422,I want to schedule a ride for tomorrow.
RIDE423,Why is the drone not here yet?
RIDE424,I want to schedule a ride for tomorrow.
RIDE425,Can I change my destination?
RIDE426,Is it safe to fly in this weather?
RIDE427,Why is the drone not here yet?
RIDE428,Is it safe to fly in this weather?
RIDE429,Is it safe to fly in this weather?
RIDE430,Can I change my destination?
RIDE431,Is the ride on time? I'm in a hurry!
RIDE432,Can I get a refund for my last ride?
RIDE433,Is the ride on time? I'm in a hurry!
RIDE434,Is it safe to fly in this weather?
RIDE435,I want to schedule a ride for tomorrow.
RIDE436,Can I get a refund for my last ride?
RIDE437,I need to cancel my ride.
RIDE438,Can I change my destination?
RIDE439,I want to schedule a ride for tomorrow.
RIDE440,I need to cancel my ride.
RIDE441,I want to schedule a ride for tomorrow.
RIDE442,Can I change my destination?
RIDE443,Can I get a refund for my last ride?
RIDE444,Why is the drone not here yet?
RIDE445,Can I get a refund for my last ride?
RIDE446,Can I change my destination?
RIDE447,Is it safe to fly in this weather?
RIDE448,I need to cancel my ride.
RIDE449,Can I change my destination?
RIDE450,Why is the drone not here yet?
RIDE451,Why is the drone not here yet?
RIDE452,I want to schedule a ride for tomorrow.
RIDE453,I want to schedule a ride for tomorrow.
RIDE454,I want to schedule a ride for tomorrow.
RIDE455,Why is the drone not here yet?
RIDE456,Is the ride on time? I'm in a hurry!
RIDE457,Is it safe to fly in this weather?
RIDE458,I need to cancel my ride.
RIDE459,I need to cancel my ride.
RIDE460,Is it safe to fly in this weather?
RIDE461,Why is the drone not here yet?
RIDE462,Is the ride on time? I'm in a hurry!
RIDE463,I need to cancel my ride.
RIDE464,I want to schedule a ride for tomorrow.
RIDE465,Why is the drone not here yet?
RIDE466,Is it safe to fly in this weather?
RIDE467,Can I get a refund for my last ride?
RIDE468,Why is the drone not here yet?
RIDE469,I want to schedule a ride for tomorrow.
RIDE470,Can I change my destination?
RIDE471,Can I get a refund for my last ride?
RIDE472,I need to cancel my ride.
RIDE473,Why is the drone not here yet?
RIDE474,Can I get a refund for my last ride?
RIDE475,Is the ride on time? I'm in a hurry!
RIDE476,I want to schedule a ride for tomorrow.
RIDE477,I need to cancel my ride.
RIDE478,Can I change my destination?
RIDE479,I want to schedule a ride for tomorrow.
RIDE480,Why is the drone not here yet?
RIDE481,Can I change my destination?
RIDE482,I want to schedule a ride for tomorrow.
RIDE483,Why is the drone not here yet?
RIDE484,I want to schedule a ride for tomorrow.
RIDE485,Can I change my destination?
RIDE486,Why is the drone not here yet?
RIDE487,Why is the drone not here yet?
RIDE488,Is the ride on time? I'm in a hurry!
RIDE489,I want to schedule a ride for tomorrow.
RIDE490,I want to schedule a ride for tomorrow.
RIDE491,Can I change my destination?
RIDE492,I want to schedule a ride for tomorrow.
RIDE493,Can I get a refund for my last ride?
RIDE494,Why is the drone not here yet?
RIDE495,Can I get a refund for my last ride?
RIDE496,I need to cancel my ride.
RIDE497,I want to schedule a ride for tomorrow.
RIDE498,Why is the drone not here yet?
RIDE499,I want to schedule a ride for tomorrow.
RIDE500,Can I change my destination?
